-1 150000.000000 200000.000000 -100000.000000 0.000000
0 150010.000000 200000.000002 -100000.000000 1.000000
1 150008.660255 199995.000002 -100000.500000 0.866026
2 150004.999999 199991.339745 -100000.866025 0.500000
3 150000.000000 199990.000000 -100001.000000 0.000000
4 149995.000001 199991.339745 -100000.866025 -0.500000
5 149991.339747 199994.999998 -100000.500000 -0.866025
6 149990.000000 199999.999999 -100000.000000 -1.000000
7 149991.339746 200005.000000 -99999.500000 -0.866025
8 149994.999999 200008.660254 -99999.133975 -0.500000
9 150000.000000 200010.000000 -99999.000000 -0.000000
10 150005.000000 200008.660254 -99999.133975 0.500000
11 150008.660254 200005.000000 -99999.500000 0.866025
12 150018.793854 199993.159602 -100000.342020 0.939693
13 150015.320893 199987.144253 -100000.642787 0.766045
14 150010.000007 199982.679496 -100000.866025 0.500000
15 150003.472972 199980.303847 -100000.984808 0.173649
16 149996.527037 199980.303845 -100000.984808 -0.173648
17 149990.000002 199982.679491 -100000.866025 -0.500000
18 149984.679114 199987.144245 -100000.642788 -0.766044
19 149981.206149 199993.159592 -100000.342020 -0.939693
20 149980.000000 199999.999998 -100000.000000 -1.000000
21 149981.206147 200006.840400 -99999.657980 -0.939693
22 149984.679108 200012.855749 -99999.357213 -0.766045
23 149989.999999 200017.320507 -99999.133975 -0.500000
24 149996.527034 200019.696155 -99999.015192 -0.173648
25 150003.472962 200019.696155 -99999.015192 0.173648
26 150009.999999 200017.320508 -99999.133975 0.500000
27 150015.320888 200012.855753 -99999.357212 0.766044
28 150018.793852 200006.840403 -99999.657980 0.939693
29 150020.000000 200000.000000 -100000.000000 1.000000
30 150028.977777 199992.235435 -100000.258819 0.965926
31 150025.980766 199985.000007 -100000.500000 0.866026
32 150021.213210 199978.786804 -100000.707107 0.707107
33 150014.999998 199974.019236 -100000.866025 0.500000
34 150007.764570 199971.022225 -100000.965926 0.258819
35 150000.000000 199970.000000 -100001.000000 0.000000
36 149992.235431 199971.022225 -100000.965926 -0.258819
37 149985.000003 199974.019236 -100000.866025 -0.500000
38 149978.786800 199978.786793 -100000.707107 -0.707107
39 149974.019241 199984.999994 -100000.500000 -0.866025
40 149971.022225 199992.235428 -100000.258819 -0.965926
41 149970.000000 199999.999997 -100000.000000 -1.000000
42 149971.022224 200007.764567 -99999.741181 -0.965926
43 149974.019239 200015.000001 -99999.500000 -0.866025
44 149978.786796 200021.213203 -99999.292893 -0.707107
45 149984.999998 200025.980761 -99999.133975 -0.500000
46 149992.235425 200028.977774 -99999.034074 -0.258819
47 149999.999999 200030.000000 -99999.000000 -0.000000
48 150007.764572 200028.977775 -99999.034074 0.258819
49 150014.999999 200025.980763 -99999.133975 0.500000
50 150021.213203 200021.213204 -99999.292893 0.707107
51 150025.980762 200015.000000 -99999.500000 0.866025
52 150028.977775 200007.764572 -99999.741181 0.965926
53 150030.000000 200000.000000 -100000.000000 1.000000
54 150039.125903 199991.683530 -100000.207912 0.978148
55 150036.541821 199983.730540 -100000.406736 0.913546
56 150032.360689 199976.488603 -100000.587785 0.809017
57 150026.765229 199970.274211 -100000.743145 0.669131
58 150019.999997 199965.358982 -100000.866025 0.500000
59 150012.360685 199961.957741 -100000.951056 0.309017
